top - 17:59:55 up 5 days,  7:05,  1 user,  load average: 3.55, 3.92, 4.01
Tasks: 474 total,   2 running, 472 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.4 us, 13.6 sy,  0.0 ni, 58.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15900.2 total,    284.0 free,  10360.2 used,   5255.9 buff/cache
MiB Swap:   2048.0 total,    777.9 free,   1270.1 used.   3786.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8011 nishant+  20   0  162708   6756   6132 S   0.0   0.0   0:00.01 ibus-me+
   8012 nishant+  20   0  275728  27924  14336 S   0.0   0.2   0:03.07 ibus-ex+
   8014 nishant+  20   0  197916  24508  14664 S   0.0   0.2   0:00.62 ibus-x11
   8018 nishant+  20   0  237036   7604   6172 S   0.0   0.0   0:03.35 ibus-po+
   8028 nishant+  20   0  162836   7580   6800 S   0.0   0.0   0:13.41 at-spi2+
   8034 nishant+  20   0  235600   4536   4092 S   0.0   0.0   0:00.03 xdg-per+
   8037 nishant+  20   0  589440  16140  13500 S   0.0   0.1   0:00.45 gnome-s+
   8045 nishant+  20   0 1078704  21720  17592 S   0.0   0.1   0:00.36 evoluti+
   8054 nishant+  20   0 1387864  24528  20108 S   0.0   0.2   0:01.04 evoluti+
   8066 nishant+  20   0  156684   5944   4844 S   0.0   0.0   0:01.20 dconf-s+
   8067 nishant+  20   0  755552  23844  20032 S   0.0   0.1   0:00.66 evoluti+
   8085 nishant+  20   0 2733696  25448  20080 S   0.0   0.2   0:00.83 gjs
   8093 nishant+  20   0  329168   7992   6640 S   0.0   0.0   0:00.96 gvfsd-t+
   8106 nishant+  20   0  309664   6244   5648 S   0.0   0.0   0:00.38 gsd-a11+
   8107 nishant+  20   0  709500  27056  16856 S   0.0   0.2   0:14.17 gsd-col+
   8108 nishant+  20   0  373620  14048  12108 S   0.0   0.1   0:00.43 gsd-dat+
   8109 nishant+  20   0  311804   7416   6560 S   0.0   0.0   0:14.27 gsd-hou+
   8110 nishant+  20   0  428192  25152  15104 S   0.0   0.2   0:01.08 gsd-key+
